name,latitude,longitude,address_cleaned,category_group
Central Park,40.78272,-73.965614,"14 E 60th St (btwn 5th Ave & Central Park W), New York, NY 10022",parks_&_outdoor
Jacqueline Kennedy Onassis Reservoir,40.785516,-73.962646,"Central Park (btwn 85th & 96th St), New York, NY 10024",parks_&_outdoor
Metropolitan Museum of Art,40.779438,-73.96345,"1000 5th Ave (btwn E 80th & E 84th St), New York, NY 10028",cultural
Metropolitan Museum of Art Store,40.779202,-73.96262,"1000 5th Ave (at E 82nd St), New York, NY 10028",cultural
Bethesda Fountain,40.774177,-73.970859,"72ND St (Central Park), New York, NY 10021",Other
Bethesda Terrace,40.773959,-73.970938,"72ND St (at Central Park), New York, NY 10021",Other
"Levain Bakery – Original Location, 74th St, NYC",40.779913,-73.980304,"167 W 74th St (at Amsterdam Ave), New York, NY 10023",retail_&_shopping
Lincoln Center for the Performing Arts,40.772771,-73.982953,"10 Lincoln Center Plz (btwn Columbus & 10th Ave), New York, NY 10023",cultural
Metropolitan Opera,40.772628,-73.984258,"70 Lincoln Center Plz (at Columbus Ave), New York, NY 10023",cultural
Central Park - Wien Walk,40.76599,-73.972245,"5th Ave (at E 61st St), New York, NY 10065",parks_&_outdoor
Hudson Greenery 59th Entrance,40.77771420012256,-73.98937940597534,"Riverside Blvd (btwn W 65th & W 72nd St), New York, NY 10069",parks_&_outdoor
Carl Schurz Park,40.775229,-73.943631,"599 E 86th St (at East End Ave), New York, NY 10028",parks_&_outdoor
Riverside Park,40.779667,-73.987419,"Riverside Dr (btwn W 59th St & St. Clair Pl), New York, NY 10069",parks_&_outdoor
Radio City Music Hall,40.759975,-73.97998,"1260 Avenue of the Americas (at W 50th St), New York, NY 10020",cultural
St. Patrick's Cathedral,40.758526,-73.97615,"5TH Ave (at 5th Ave), New York, NY 10022",Other
Sottocasa Pizzeria,40.805571,-73.947505,"227 Malcolm X Blvd, New York, NY 10027",restaurants
Los Tacos No. 1,40.75743,-73.987507,"229 W 43rd St (btwn 7th & 8th Ave), New York, NY 10036",restaurants
Bryant Park,40.755528,-73.993985,"W 42nd St (btwn 5th & 6th Ave), New York, NY 10018",parks_&_outdoor
MUJI,40.752478,-73.981067,"475 5th Ave (at E 41st St), New York, NY 10017",Other
Gantry Plaza State Park,40.744382,-73.95708,"474 48th Ave (btwn 46th & 48th Ave), Queens, NY 11109",parks_&_outdoor
Madison Square Park,40.742253,-73.988091,"23 Madison Ave (btwn E 23rd & E 26th St), New York, NY 10010",parks_&_outdoor
Jua,40.739781,-73.987732,"36 E 22nd St (btw Broadway & Park Ave S), New York, NY 10010",restaurants
Gramercy Tavern,40.73846,-73.988371,"42 E 20th St (btwn Broadway & Park Ave), New York, NY 10003",bars_&_clubs
David Zwirner Gallery,40.746699,-74.007134,"537 W 20th St (at 11th Ave), New York, NY 10011",cultural
Malt & Mold,40.736712,-73.981499,"362 2nd Ave (btwn 21st & 22nd St), New York, NY 10010",restaurants
Strand,40.73321,-73.99068,"828 Broadway (at E 12th St), New York, NY 10003",Other
Washington Square Park,40.730823,-73.997332,"5 Avenue A (btwn MacDougal St & University Pl), New York, NY 10009",parks_&_outdoor
L'Artusi,40.733806,-74.005138,"228 W 10th St (btwn Bleecker & Hudson St), New York, NY 10014",restaurants
The Public Theater,40.72899,-73.991762,"425 Lafayette St (btwn Astor Pl & E 4th St), New York, NY 10003",cultural
Astor Wine & Spirits,40.727937,-73.992812,"399 Lafayette St (at E 4th St), New York, NY 10003",restaurants
Murray’s Cheese,40.731003,-74.003062,"254 Bleecker St (at Cornelia St), New York, NY 10014",Other
Hudson River Park,40.7342,-74.010481,"West St (btwn Battery Pl & W 59th St), New York, NY 10011",parks_&_outdoor
Fish Cheeks,40.725709,-73.9952569,"55 Bond St (btwn Lafayette & Bowery St), New York, NY 10012",restaurants
Book Club Bar,40.723019,-73.98319,"197 E 3rd St (Avenue B), New York, NY 10009",Other
Elizabeth Street Garden,40.722386,-73.994602,"Elizabeth Street (btwn Prince & Spring St), New York, NY 10012",landmarks
Thai Diner,40.720687,-73.995626,"186 Mott St (at Kenmare), New York, NY 10012",restaurants
La Compagnie des Vins Surnaturels,40.720508,-73.998238,"249 Centre St (at Broome St), New York, NY 10013",restaurants
Nelson A. Rockefeller Park,40.71776,-74.015939,"River Ter (btwn Chambers St & Vesey Pl), New York, NY 10282",parks_&_outdoor
Brooklyn Bridge,40.706234,-73.99699,"New York, NY 10038",landmarks
Fort Tryon Park,40.860783,-73.932772,"1 Margaret Corbin Dr (at Fort Tyron Pl), New York, NY 10040",parks_&_outdoor
Metropolitan Museum of Art,40.779438,-73.96345,"1000 5th Ave (btwn E 80th & E 84th St), New York, NY 10028",cultural
Metropolitan Museum of Art Store,40.779202,-73.96262,"1000 5th Ave (at E 82nd St), New York, NY 10028",cultural
American Museum of Natural History,40.781322,-73.97399,"Central Park (btwn W 77th & W 81st St), New York, NY 10024",cultural
Cooper-Hewitt National Design Museum,40.784351,-73.957792,"2 E 91st St (at 5th Ave), New York, NY 10128",cultural
AMC 84th Street 6,40.786627,-73.97755,"2310 Broadway (btwn W 83rd & W 84th St), New York, NY 10024",entertainment_&_leisure
New-York Historical Society Museum and Library,40.77927,-73.9742,"170 Central Park W (at W 77th St), New York, NY 10024",cultural
Auditorium Of New York Historical,40.779215,-73.974158,"170 Central Park W, New York, NY 10024",cultural
92nd Street Y,40.782809,-73.952881,"1395 Lexington Ave (at E 92nd St), New York, NY 10128",cultural
Cat Hill - Still Hunt by Edward Kemeys,40.776698642107306,-73.96720290184021,"at Cedar Hill, New York, NY 10024",cultural
Lincoln Center for the Performing Arts,40.772771,-73.982953,"10 Lincoln Center Plz (btwn Columbus & 10th Ave), New York, NY 10023",cultural
Park Avenue Armory,40.767451,-73.966097,"643 Park Ave (btwn E 66th & E 67th St), New York, NY 10065",cultural
Walter Reade Theater,40.772668,-73.982774,"70 Lincoln Center Plz (btwn Broadway & Amsterdam Ave), New York, NY 10023",cultural
Society of Illustrators,40.764677,-73.966907,"128 E 63rd St (Lexington Avenue), New York, NY 10065",cultural
AMC Lincoln Square 13,40.775018,-73.981686,"1998 Broadway (at W 68th St), New York, NY 10023",entertainment_&_leisure
Carnegie Hall,40.76497,-73.97972,"57th Street and Seventh (at W 57th St), New York, NY 10019",cultural
Stern Auditorium / Perelman Stage,40.765026,-73.979985,"881 7th Ave (at W 57th St), New York, NY 10019",cultural
New York City Center,40.763854,-73.979414,"131 W 55th St (btwn 6th & 7th Ave), New York, NY 10019",cultural
Museum of Modern Art (MoMA),40.761539,-73.977227,"11 W 53rd St (btwn 5th & 6th Ave), New York, NY 10019",cultural
Central Park Zoo,40.76778543898998,-73.97185921669006,"E 64th St (at 5th Ave), New York, NY 10065",parks_&_outdoor
Radio City Music Hall,40.759975,-73.97998,"1260 Avenue of the Americas (at W 50th St), New York, NY 10020",cultural
