date_key,full_date,year,month,day,day_of_week,month_name
19000101,1900-01-01,1900,1,1,Monday,January
20120711,2012-07-11,2012,7,11,Wednesday,July
20120810,2012-08-10,2012,8,10,Friday,August
20120825,2012-08-25,2012,8,25,Saturday,August
20120905,2012-09-05,2012,9,5,Wednesday,September
20120914,2012-09-14,2012,9,14,Friday,September
20120918,2012-09-18,2012,9,18,Tuesday,September
20120923,2012-09-23,2012,9,23,Sunday,September
20121101,2012-11-01,2012,11,1,Thursday,November
20121110,2012-11-10,2012,11,10,Saturday,November
20121212,2012-12-12,2012,12,12,Wednesday,December
20121225,2012-12-25,2012,12,25,Tuesday,December
20121231,2012-12-31,2012,12,31,Monday,December
20130101,2013-01-01,2013,1,1,Tuesday,January
20130104,2013-01-04,2013,1,4,Friday,January
20130105,2013-01-05,2013,1,5,Saturday,January
20130308,2013-03-08,2013,3,8,Friday,March
20130331,2013-03-31,2013,3,31,Sunday,March
20130403,2013-04-03,2013,4,3,Wednesday,April
20130409,2013-04-09,2013,4,9,Tuesday,April
20130421,2013-04-21,2013,4,21,Sunday,April
20130502,2013-05-02,2013,5,2,Thursday,May
20130506,2013-05-06,2013,5,6,Monday,May
20130510,2013-05-10,2013,5,10,Friday,May
20130524,2013-05-24,2013,5,24,Friday,May
20130531,2013-05-31,2013,5,31,Friday,May
20130620,2013-06-20,2013,6,20,Thursday,June
20130628,2013-06-28,2013,6,28,Friday,June
20130630,2013-06-30,2013,6,30,Sunday,June
20130709,2013-07-09,2013,7,9,Tuesday,July
20130711,2013-07-11,2013,7,11,Thursday,July
20130714,2013-07-14,2013,7,14,Sunday,July
20130801,2013-08-01,2013,8,1,Thursday,August
20130808,2013-08-08,2013,8,8,Thursday,August
20130901,2013-09-01,2013,9,1,Sunday,September
20130904,2013-09-04,2013,9,4,Wednesday,September
20130906,2013-09-06,2013,9,6,Friday,September
20130907,2013-09-07,2013,9,7,Saturday,September
20130911,2013-09-11,2013,9,11,Wednesday,September
20130916,2013-09-16,2013,9,16,Monday,September
20130924,2013-09-24,2013,9,24,Tuesday,September
20130928,2013-09-28,2013,9,28,Saturday,September
20131001,2013-10-01,2013,10,1,Tuesday,October
20131009,2013-10-09,2013,10,9,Wednesday,October
20131015,2013-10-15,2013,10,15,Tuesday,October
20131017,2013-10-17,2013,10,17,Thursday,October
20131101,2013-11-01,2013,11,1,Friday,November
20131109,2013-11-09,2013,11,9,Saturday,November
20131121,2013-11-21,2013,11,21,Thursday,November
20131204,2013-12-04,2013,12,4,Wednesday,December
20131214,2013-12-14,2013,12,14,Saturday,December
20131215,2013-12-15,2013,12,15,Sunday,December
20131225,2013-12-25,2013,12,25,Wednesday,December
20140102,2014-01-02,2014,1,2,Thursday,January
20140103,2014-01-03,2014,1,3,Friday,January
20140104,2014-01-04,2014,1,4,Saturday,January
20140105,2014-01-05,2014,1,5,Sunday,January
20140107,2014-01-07,2014,1,7,Tuesday,January
20140113,2014-01-13,2014,1,13,Monday,January
20140201,2014-02-01,2014,2,1,Saturday,February
20140203,2014-02-03,2014,2,3,Monday,February
20140324,2014-03-24,2014,3,24,Monday,March
20140328,2014-03-28,2014,3,28,Friday,March
20140402,2014-04-02,2014,4,2,Wednesday,April
20140411,2014-04-11,2014,4,11,Friday,April
20140415,2014-04-15,2014,4,15,Tuesday,April
20140417,2014-04-17,2014,4,17,Thursday,April
20140419,2014-04-19,2014,4,19,Saturday,April
20140420,2014-04-20,2014,4,20,Sunday,April
20140421,2014-04-21,2014,4,21,Monday,April
20140422,2014-04-22,2014,4,22,Tuesday,April
20140423,2014-04-23,2014,4,23,Wednesday,April
20140424,2014-04-24,2014,4,24,Thursday,April
20140427,2014-04-27,2014,4,27,Sunday,April
20140428,2014-04-28,2014,4,28,Monday,April
20140502,2014-05-02,2014,5,2,Friday,May
20140505,2014-05-05,2014,5,5,Monday,May
20140513,2014-05-13,2014,5,13,Tuesday,May
20140517,2014-05-17,2014,5,17,Saturday,May
20140519,2014-05-19,2014,5,19,Monday,May
20140520,2014-05-20,2014,5,20,Tuesday,May
20140524,2014-05-24,2014,5,24,Saturday,May
20140527,2014-05-27,2014,5,27,Tuesday,May
20140529,2014-05-29,2014,5,29,Thursday,May
20140602,2014-06-02,2014,6,2,Monday,June
20140606,2014-06-06,2014,6,6,Friday,June
20140609,2014-06-09,2014,6,9,Monday,June
20140610,2014-06-10,2014,6,10,Tuesday,June
20140613,2014-06-13,2014,6,13,Friday,June
20140614,2014-06-14,2014,6,14,Saturday,June
20140621,2014-06-21,2014,6,21,Saturday,June
20140626,2014-06-26,2014,6,26,Thursday,June
20140627,2014-06-27,2014,6,27,Friday,June
20140628,2014-06-28,2014,6,28,Saturday,June
20140630,2014-06-30,2014,6,30,Monday,June
20140708,2014-07-08,2014,7,8,Tuesday,July
20140710,2014-07-10,2014,7,10,Thursday,July
20140711,2014-07-11,2014,7,11,Friday,July
20140712,2014-07-12,2014,7,12,Saturday,July
20140713,2014-07-13,2014,7,13,Sunday,July
20140715,2014-07-15,2014,7,15,Tuesday,July
20140721,2014-07-21,2014,7,21,Monday,July
20140728,2014-07-28,2014,7,28,Monday,July
20140801,2014-08-01,2014,8,1,Friday,August
20140803,2014-08-03,2014,8,3,Sunday,August
20140804,2014-08-04,2014,8,4,Monday,August
20140805,2014-08-05,2014,8,5,Tuesday,August
20140807,2014-08-07,2014,8,7,Thursday,August
20140809,2014-08-09,2014,8,9,Saturday,August
20140810,2014-08-10,2014,8,10,Sunday,August
20140813,2014-08-13,2014,8,13,Wednesday,August
20140815,2014-08-15,2014,8,15,Friday,August
20140816,2014-08-16,2014,8,16,Saturday,August
20140817,2014-08-17,2014,8,17,Sunday,August
20140818,2014-08-18,2014,8,18,Monday,August
20140819,2014-08-19,2014,8,19,Tuesday,August
20140820,2014-08-20,2014,8,20,Wednesday,August
20140821,2014-08-21,2014,8,21,Thursday,August
20140822,2014-08-22,2014,8,22,Friday,August
20140823,2014-08-23,2014,8,23,Saturday,August
20140824,2014-08-24,2014,8,24,Sunday,August
20140825,2014-08-25,2014,8,25,Monday,August
20140827,2014-08-27,2014,8,27,Wednesday,August
20140828,2014-08-28,2014,8,28,Thursday,August
20140830,2014-08-30,2014,8,30,Saturday,August
20140831,2014-08-31,2014,8,31,Sunday,August
20140901,2014-09-01,2014,9,1,Monday,September
20140903,2014-09-03,2014,9,3,Wednesday,September
20140904,2014-09-04,2014,9,4,Thursday,September
20140906,2014-09-06,2014,9,6,Saturday,September
20140907,2014-09-07,2014,9,7,Sunday,September
20140909,2014-09-09,2014,9,9,Tuesday,September
20140912,2014-09-12,2014,9,12,Friday,September
20140914,2014-09-14,2014,9,14,Sunday,September
20140915,2014-09-15,2014,9,15,Monday,September
20140917,2014-09-17,2014,9,17,Wednesday,September
20140918,2014-09-18,2014,9,18,Thursday,September
20140920,2014-09-20,2014,9,20,Saturday,September
20140921,2014-09-21,2014,9,21,Sunday,September
20140922,2014-09-22,2014,9,22,Monday,September
20140923,2014-09-23,2014,9,23,Tuesday,September
20140924,2014-09-24,2014,9,24,Wednesday,September
20140925,2014-09-25,2014,9,25,Thursday,September
20140927,2014-09-27,2014,9,27,Saturday,September
20140928,2014-09-28,2014,9,28,Sunday,September
20140929,2014-09-29,2014,9,29,Monday,September
20140930,2014-09-30,2014,9,30,Tuesday,September
20141002,2014-10-02,2014,10,2,Thursday,October
20141004,2014-10-04,2014,10,4,Saturday,October
20141005,2014-10-05,2014,10,5,Sunday,October
20141006,2014-10-06,2014,10,6,Monday,October
20141008,2014-10-08,2014,10,8,Wednesday,October
20141011,2014-10-11,2014,10,11,Saturday,October
20141012,2014-10-12,2014,10,12,Sunday,October
20141013,2014-10-13,2014,10,13,Monday,October
20141014,2014-10-14,2014,10,14,Tuesday,October
20141017,2014-10-17,2014,10,17,Friday,October
20141018,2014-10-18,2014,10,18,Saturday,October
20141019,2014-10-19,2014,10,19,Sunday,October
20141020,2014-10-20,2014,10,20,Monday,October
20141022,2014-10-22,2014,10,22,Wednesday,October
20141024,2014-10-24,2014,10,24,Friday,October
20141026,2014-10-26,2014,10,26,Sunday,October
20141027,2014-10-27,2014,10,27,Monday,October
20141028,2014-10-28,2014,10,28,Tuesday,October
20141031,2014-10-31,2014,10,31,Friday,October
20141101,2014-11-01,2014,11,1,Saturday,November
20141102,2014-11-02,2014,11,2,Sunday,November
20141103,2014-11-03,2014,11,3,Monday,November
20141104,2014-11-04,2014,11,4,Tuesday,November
20141106,2014-11-06,2014,11,6,Thursday,November
20141109,2014-11-09,2014,11,9,Sunday,November
20141110,2014-11-10,2014,11,10,Monday,November
20141114,2014-11-14,2014,11,14,Friday,November
20141115,2014-11-15,2014,11,15,Saturday,November
20141128,2014-11-28,2014,11,28,Friday,November
20141130,2014-11-30,2014,11,30,Sunday,November
20141203,2014-12-03,2014,12,3,Wednesday,December
20141208,2014-12-08,2014,12,8,Monday,December
20141219,2014-12-19,2014,12,19,Friday,December
20141222,2014-12-22,2014,12,22,Monday,December
20141226,2014-12-26,2014,12,26,Friday,December
20141227,2014-12-27,2014,12,27,Saturday,December
20141230,2014-12-30,2014,12,30,Tuesday,December
20141231,2014-12-31,2014,12,31,Wednesday,December
20150101,2015-01-01,2015,1,1,Thursday,January
20150102,2015-01-02,2015,1,2,Friday,January
20150103,2015-01-03,2015,1,3,Saturday,January
20150104,2015-01-04,2015,1,4,Sunday,January
20150105,2015-01-05,2015,1,5,Monday,January
20150106,2015-01-06,2015,1,6,Tuesday,January
20150107,2015-01-07,2015,1,7,Wednesday,January
20150108,2015-01-08,2015,1,8,Thursday,January
20150109,2015-01-09,2015,1,9,Friday,January
20150110,2015-01-10,2015,1,10,Saturday,January
20150111,2015-01-11,2015,1,11,Sunday,January
20150112,2015-01-12,2015,1,12,Monday,January
20150115,2015-01-15,2015,1,15,Thursday,January
20150118,2015-01-18,2015,1,18,Sunday,January
20150121,2015-01-21,2015,1,21,Wednesday,January
20150130,2015-01-30,2015,1,30,Friday,January
