airbnb_neighbourhood_group,airbnb_neighbourhood,airbnb_lat,airbnb_long
Brooklyn,Kensington,40.64749,-73.97237
Manhattan,Midtown,40.75362,-73.98377
Manhattan,Harlem,40.80902,-73.9419
Brooklyn,Clinton Hill,40.68514,-73.95976
Manhattan,East Harlem,40.79851,-73.94399
Manhattan,Murray Hill,40.74767,-73.975
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596
Manhattan,Hell's Kitchen,40.76489,-73.98493
Manhattan,Upper West Side,40.80178,-73.96723
Manhattan,Chinatown,40.71344,-73.99037
Manhattan,Upper West Side,40.80316,-73.96545
Manhattan,Hell's Kitchen,40.76076,-73.98867
Brooklyn,South Slope,40.66829,-73.98779
Manhattan,Upper West Side,40.79826,-73.96113
Manhattan,West Village,40.7353,-74.00525
Brooklyn,Williamsburg,40.70837,-73.95352
Brooklyn,Fort Greene,40.69169,-73.97185
Manhattan,Chelsea,40.74192,-73.99501
Brooklyn,Crown Heights,40.67592,-73.94694
Manhattan,East Harlem,40.79685,-73.94872
Brooklyn,Williamsburg,40.71842,-73.95718
Brooklyn,Park Slope,40.68069,-73.97706
Brooklyn,Park Slope,40.67989,-73.97798
Brooklyn,Park Slope,40.68001,-73.97865
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028
Brooklyn,Windsor Terrace,40.65599,-73.97519
Manhattan,Inwood,40.86754,-73.92639
Manhattan,Hell's Kitchen,40.76715,-73.98533
Manhattan,Inwood,40.86482,-73.92106
Manhattan,East Village,40.7292,-73.98542
Manhattan,Harlem,40.82245,-73.95104
Manhattan,Harlem,40.81305,-73.95466
Brooklyn,Greenpoint,40.72219,-73.93762
Manhattan,Harlem,40.8213,-73.95318
Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473
Brooklyn,South Slope,40.66869,-73.9878
Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312
Brooklyn,Bushwick,40.70186,-73.92745
Brooklyn,Flatbush,40.63702,-73.96327
Manhattan,Lower East Side,40.71401,-73.98917
Manhattan,East Village,40.7229,-73.98199
Brooklyn,South Slope,40.66278,-73.97966
Brooklyn,Fort Greene,40.69673,-73.97584
Manhattan,Upper West Side,40.79009,-73.97927
Manhattan,Harlem,40.81175,-73.94478
Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238
Queens,Long Island City,40.74771,-73.9474
Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591
Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409
Brooklyn,Fort Greene,40.69142,-73.97376
Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934
Manhattan,Upper West Side,40.78635,-73.97008
Brooklyn,Williamsburg,40.7042,-73.9356
Brooklyn,Greenpoint,40.73506,-73.95392
